"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"13.02.2019 16:00 - 13.02.2019 16:15","69745","69317"
"13.02.2019 16:15 - 13.02.2019 16:30","70255","70063"
"13.02.2019 16:30 - 13.02.2019 16:45","71070","71314"
"13.02.2019 16:45 - 13.02.2019 17:00","72006","72921"
"13.02.2019 17:00 - 13.02.2019 17:15","72337","73695"
"13.02.2019 17:15 - 13.02.2019 17:30","72630","73810"
"13.02.2019 17:30 - 13.02.2019 17:45","72835","73800"
"13.02.2019 17:45 - 13.02.2019 18:00","72777","73809"
"13.02.2019 18:00 - 13.02.2019 18:15","72518","73785"
"13.02.2019 18:15 - 13.02.2019 18:30","71629","72917"
"13.02.2019 18:30 - 13.02.2019 18:45","71111","72191"
"13.02.2019 18:45 - 13.02.2019 19:00","70509","71676"
"13.02.2019 19:00 - 13.02.2019 19:15","69376","70425"
"13.02.2019 19:15 - 13.02.2019 19:30","67813","69238"
"13.02.2019 19:30 - 13.02.2019 19:45","66901","68121"
"13.02.2019 19:45 - 13.02.2019 20:00","66134","67277"
"13.02.2019 20:00 - 13.02.2019 20:15","65153","66732"
"13.02.2019 20:15 - 13.02.2019 20:30","64374","66070"
"13.02.2019 20:30 - 13.02.2019 20:45","63741","65185"
"13.02.2019 20:45 - 13.02.2019 21:00","63177","63657"
"13.02.2019 21:00 - 13.02.2019 21:15","63140","64047"
"13.02.2019 21:15 - 13.02.2019 21:30","62628","63266"
"13.02.2019 21:30 - 13.02.2019 21:45","61626","62109"
"13.02.2019 21:45 - 13.02.2019 22:00","60326","60858"
"13.02.2019 22:00 - 13.02.2019 22:15","59106","59603"
"13.02.2019 22:15 - 13.02.2019 22:30","58181","58686"
"13.02.2019 22:30 - 13.02.2019 22:45","57239","57602"
"13.02.2019 22:45 - 13.02.2019 23:00","56404","56690"
"13.02.2019 23:00 - 13.02.2019 23:15","55450","55490"
"13.02.2019 23:15 - 13.02.2019 23:30","54708","54664"
"13.02.2019 23:30 - 13.02.2019 23:45","54035","54438"
"13.02.2019 23:45 - 14.02.2019 00:00","53579","53814"
"14.02.2019 00:00 - 14.02.2019 00:15","53080","52971"
"14.02.2019 00:15 - 14.02.2019 00:30","52560","52404"
"14.02.2019 00:30 - 14.02.2019 00:45","52352","52313"
"14.02.2019 00:45 - 14.02.2019 01:00","51995","52342"
"14.02.2019 01:00 - 14.02.2019 01:15","51700","51900"
"14.02.2019 01:15 - 14.02.2019 01:30","51646","51619"
"14.02.2019 01:30 - 14.02.2019 01:45","51671","51742"
"14.02.2019 01:45 - 14.02.2019 02:00","51632","51901"
"14.02.2019 02:00 - 14.02.2019 02:15","51863","51648"
"14.02.2019 02:15 - 14.02.2019 02:30","51919","51738"
"14.02.2019 02:30 - 14.02.2019 02:45","51890","51914"
"14.02.2019 02:45 - 14.02.2019 03:00","52011","52105"
"14.02.2019 03:00 - 14.02.2019 03:15","52360","52452"
"14.02.2019 03:15 - 14.02.2019 03:30","52612","52797"
"14.02.2019 03:30 - 14.02.2019 03:45","53018","53420"
"14.02.2019 03:45 - 14.02.2019 04:00","53488","54117"
"14.02.2019 04:00 - 14.02.2019 04:15","54619","55880"
"14.02.2019 04:15 - 14.02.2019 04:30","55294","56597"
"14.02.2019 04:30 - 14.02.2019 04:45","56386","57414"
"14.02.2019 04:45 - 14.02.2019 05:00","57591","58737"
"14.02.2019 05:00 - 14.02.2019 05:15","59990","61888"
"14.02.2019 05:15 - 14.02.2019 05:30","62260","64382"
"14.02.2019 05:30 - 14.02.2019 05:45","64089","66279"
"14.02.2019 05:45 - 14.02.2019 06:00","65534","68161"
"14.02.2019 06:00 - 14.02.2019 06:15","67331","69848"
"14.02.2019 06:15 - 14.02.2019 06:30","68158","70438"
"14.02.2019 06:30 - 14.02.2019 06:45","68743","70993"
"14.02.2019 06:45 - 14.02.2019 07:00","69269","71541"
"14.02.2019 07:00 - 14.02.2019 07:15","69984","71865"
"14.02.2019 07:15 - 14.02.2019 07:30","70180","72257"
"14.02.2019 07:30 - 14.02.2019 07:45","70330","72259"
"14.02.2019 07:45 - 14.02.2019 08:00","70380","72021"
"14.02.2019 08:00 - 14.02.2019 08:15","70133","71657"
"14.02.2019 08:15 - 14.02.2019 08:30","70075","71550"
"14.02.2019 08:30 - 14.02.2019 08:45","70189","71772"
"14.02.2019 08:45 - 14.02.2019 09:00","70538","71642"
"14.02.2019 09:00 - 14.02.2019 09:15","70695","71171"
"14.02.2019 09:15 - 14.02.2019 09:30","71247","71174"
"14.02.2019 09:30 - 14.02.2019 09:45","71270","70562"
"14.02.2019 09:45 - 14.02.2019 10:00","71395","70833"
"14.02.2019 10:00 - 14.02.2019 10:15","71614","71039"
"14.02.2019 10:15 - 14.02.2019 10:30","71772","71074"
"14.02.2019 10:30 - 14.02.2019 10:45","72057","70999"
"14.02.2019 10:45 - 14.02.2019 11:00","71907","71013"
"14.02.2019 11:00 - 14.02.2019 11:15","71676","70693"
"14.02.2019 11:15 - 14.02.2019 11:30","71305","69750"
"14.02.2019 11:30 - 14.02.2019 11:45","70914","69636"
"14.02.2019 11:45 - 14.02.2019 12:00","71278","69525"
"14.02.2019 12:00 - 14.02.2019 12:15","71116","70002"
"14.02.2019 12:15 - 14.02.2019 12:30","70695","69565"
"14.02.2019 12:30 - 14.02.2019 12:45","70382","68608"
"14.02.2019 12:45 - 14.02.2019 13:00","69770","68169"
"14.02.2019 13:00 - 14.02.2019 13:15","69606","68756"
"14.02.2019 13:15 - 14.02.2019 13:30","69348","68740"
"14.02.2019 13:30 - 14.02.2019 13:45","69496","68255"
"14.02.2019 13:45 - 14.02.2019 14:00","69447","67501"
"14.02.2019 14:00 - 14.02.2019 14:15","68822","67915"
"14.02.2019 14:15 - 14.02.2019 14:30","68763","67756"
"14.02.2019 14:30 - 14.02.2019 14:45","68641","67591"
"14.02.2019 14:45 - 14.02.2019 15:00","68359","67156"
"14.02.2019 15:00 - 14.02.2019 15:15","68387","66921"
"14.02.2019 15:15 - 14.02.2019 15:30","67966","66945"
"14.02.2019 15:30 - 14.02.2019 15:45","67664","66630"
"14.02.2019 15:45 - 14.02.2019 16:00","68611","66683"
"14.02.2019 16:00 - 14.02.2019 16:15","69084","67112"
"14.02.2019 16:15 - 14.02.2019 16:30","69448","67796"
"14.02.2019 16:30 - 14.02.2019 16:45","70327","69036"
"14.02.2019 16:45 - 14.02.2019 17:00","71079","70454"
"14.02.2019 17:00 - 14.02.2019 17:15","71324","71711"
"14.02.2019 17:15 - 14.02.2019 17:30","71666","72249"
"14.02.2019 17:30 - 14.02.2019 17:45","71853","72181"
"14.02.2019 17:45 - 14.02.2019 18:00","71859","72239"
"14.02.2019 18:00 - 14.02.2019 18:15","71719","71909"
"14.02.2019 18:15 - 14.02.2019 18:30","70902","71064"
"14.02.2019 18:30 - 14.02.2019 18:45","70359","70547"
"14.02.2019 18:45 - 14.02.2019 19:00","70011","69849"
"14.02.2019 19:00 - 14.02.2019 19:15","68959","68694"
"14.02.2019 19:15 - 14.02.2019 19:30","67439","67602"
"14.02.2019 19:30 - 14.02.2019 19:45","66527","66623"
"14.02.2019 19:45 - 14.02.2019 20:00","65774","65729"
"14.02.2019 20:00 - 14.02.2019 20:15","64815","65137"
"14.02.2019 20:15 - 14.02.2019 20:30","64121","64595"
"14.02.2019 20:30 - 14.02.2019 20:45","63422","63897"
"14.02.2019 20:45 - 14.02.2019 21:00","62952","63204"
"14.02.2019 21:00 - 14.02.2019 21:15","62758","62852"
"14.02.2019 21:15 - 14.02.2019 21:30","62043","62187"
"14.02.2019 21:30 - 14.02.2019 21:45","60902","61266"
"14.02.2019 21:45 - 14.02.2019 22:00","59681","60412"
"14.02.2019 22:00 - 14.02.2019 22:15","58416","59457"
"14.02.2019 22:15 - 14.02.2019 22:30","57358","58506"
"14.02.2019 22:30 - 14.02.2019 22:45","56539","57524"
"14.02.2019 22:45 - 14.02.2019 23:00","55749","56598"
"14.02.2019 23:00 - 14.02.2019 23:15","55158","55554"
"14.02.2019 23:15 - 14.02.2019 23:30","54306","55169"
"14.02.2019 23:30 - 14.02.2019 23:45","53650","54721"
"14.02.2019 23:45 - 15.02.2019 00:00","53069","54240"
"15.02.2019 00:00 - 15.02.2019 00:15","52618","53601"
"15.02.2019 00:15 - 15.02.2019 00:30","52146","53199"
"15.02.2019 00:30 - 15.02.2019 00:45","51872","52887"
"15.02.2019 00:45 - 15.02.2019 01:00","51590","52690"
"15.02.2019 01:00 - 15.02.2019 01:15","51251","52052"
"15.02.2019 01:15 - 15.02.2019 01:30","51136","51919"
"15.02.2019 01:30 - 15.02.2019 01:45","51110","52022"
"15.02.2019 01:45 - 15.02.2019 02:00","51064","52150"
"15.02.2019 02:00 - 15.02.2019 02:15","51113","52270"
"15.02.2019 02:15 - 15.02.2019 02:30","51196","52365"
"15.02.2019 02:30 - 15.02.2019 02:45","51204","52531"
"15.02.2019 02:45 - 15.02.2019 03:00","51367","52662"
"15.02.2019 03:00 - 15.02.2019 03:15","51685","52861"
"15.02.2019 03:15 - 15.02.2019 03:30","51991","53320"
"15.02.2019 03:30 - 15.02.2019 03:45","52446","53670"
"15.02.2019 03:45 - 15.02.2019 04:00","53010","54156"
"15.02.2019 04:00 - 15.02.2019 04:15","53980","55723"
"15.02.2019 04:15 - 15.02.2019 04:30","54613","56709"
"15.02.2019 04:30 - 15.02.2019 04:45","55631","57297"
"15.02.2019 04:45 - 15.02.2019 05:00","56780","58779"
"15.02.2019 05:00 - 15.02.2019 05:15","59330","61386"
"15.02.2019 05:15 - 15.02.2019 05:30","61424","63649"
"15.02.2019 05:30 - 15.02.2019 05:45","63206","65622"
"15.02.2019 05:45 - 15.02.2019 06:00","64566","67373"
"15.02.2019 06:00 - 15.02.2019 06:15","66403","69113"
"15.02.2019 06:15 - 15.02.2019 06:30","67341","69997"
"15.02.2019 06:30 - 15.02.2019 06:45","68139","70378"
"15.02.2019 06:45 - 15.02.2019 07:00","68552","70724"
"15.02.2019 07:00 - 15.02.2019 07:15","69484","71131"
"15.02.2019 07:15 - 15.02.2019 07:30","69620","71041"
"15.02.2019 07:30 - 15.02.2019 07:45","69723","70984"
"15.02.2019 07:45 - 15.02.2019 08:00","69889","70692"
"15.02.2019 08:00 - 15.02.2019 08:15","69775","70354"
"15.02.2019 08:15 - 15.02.2019 08:30","69694","70672"
"15.02.2019 08:30 - 15.02.2019 08:45","69729","71267"
"15.02.2019 08:45 - 15.02.2019 09:00","69859","71508"
"15.02.2019 09:00 - 15.02.2019 09:15","69934","71431"
"15.02.2019 09:15 - 15.02.2019 09:30","70171","71511"
"15.02.2019 09:30 - 15.02.2019 09:45","70145","71558"
"15.02.2019 09:45 - 15.02.2019 10:00","70201","71527"
"15.02.2019 10:00 - 15.02.2019 10:15","70241","71051"
"15.02.2019 10:15 - 15.02.2019 10:30","70240","71219"
"15.02.2019 10:30 - 15.02.2019 10:45","70346","71155"
"15.02.2019 10:45 - 15.02.2019 11:00","70343","71005"
"15.02.2019 11:00 - 15.02.2019 11:15","69634","69911"
"15.02.2019 11:15 - 15.02.2019 11:30","69695","69304"
"15.02.2019 11:30 - 15.02.2019 11:45","69294","68992"
"15.02.2019 11:45 - 15.02.2019 12:00","69457","68523"
"15.02.2019 12:00 - 15.02.2019 12:15","69184","68272"
"15.02.2019 12:15 - 15.02.2019 12:30","68962","67739"
"15.02.2019 12:30 - 15.02.2019 12:45","68583","67066"
"15.02.2019 12:45 - 15.02.2019 13:00","67652","66189"
"15.02.2019 13:00 - 15.02.2019 13:15","67304","65694"
"15.02.2019 13:15 - 15.02.2019 13:30","67064","65483"
"15.02.2019 13:30 - 15.02.2019 13:45","67176","65059"
"15.02.2019 13:45 - 15.02.2019 14:00","67060","64740"
"15.02.2019 14:00 - 15.02.2019 14:15","66512","65026"
"15.02.2019 14:15 - 15.02.2019 14:30","66528","64806"
"15.02.2019 14:30 - 15.02.2019 14:45","66365","64367"
"15.02.2019 14:45 - 15.02.2019 15:00","66047","64189"
"15.02.2019 15:00 - 15.02.2019 15:15","66155","63920"
"15.02.2019 15:15 - 15.02.2019 15:30","65909","64153"
"15.02.2019 15:30 - 15.02.2019 15:45","65438","64495"
"15.02.2019 15:45 - 15.02.2019 16:00","66695","64725"
"15.02.2019 16:00 - 15.02.2019 16:15","67213","65387"
"15.02.2019 16:15 - 15.02.2019 16:30","67683","65853"
"15.02.2019 16:30 - 15.02.2019 16:45","68598","66934"
"15.02.2019 16:45 - 15.02.2019 17:00","69281","68514"
"15.02.2019 17:00 - 15.02.2019 17:15","69556","70065"
"15.02.2019 17:15 - 15.02.2019 17:30","69932","70805"
"15.02.2019 17:30 - 15.02.2019 17:45","70192","70808"
"15.02.2019 17:45 - 15.02.2019 18:00","70150","70187"
"15.02.2019 18:00 - 15.02.2019 18:15","69962","70487"
"15.02.2019 18:15 - 15.02.2019 18:30","69112","70100"
"15.02.2019 18:30 - 15.02.2019 18:45","68559","69496"
"15.02.2019 18:45 - 15.02.2019 19:00","68057","68595"
"15.02.2019 19:00 - 15.02.2019 19:15","66895","67381"
"15.02.2019 19:15 - 15.02.2019 19:30","65550","66254"
"15.02.2019 19:30 - 15.02.2019 19:45","64484","65389"
"15.02.2019 19:45 - 15.02.2019 20:00","63779","64445"
"15.02.2019 20:00 - 15.02.2019 20:15","62623","63173"
"15.02.2019 20:15 - 15.02.2019 20:30","61904","62667"
"15.02.2019 20:30 - 15.02.2019 20:45","61417","61900"
"15.02.2019 20:45 - 15.02.2019 21:00","60829","61006"
"15.02.2019 21:00 - 15.02.2019 21:15","60785","61315"
"15.02.2019 21:15 - 15.02.2019 21:30","60169","60179"
"15.02.2019 21:30 - 15.02.2019 21:45","59166","59158"
"15.02.2019 21:45 - 15.02.2019 22:00","58146","58325"
"15.02.2019 22:00 - 15.02.2019 22:15","56965","57016"
"15.02.2019 22:15 - 15.02.2019 22:30","56032","55877"
"15.02.2019 22:30 - 15.02.2019 22:45","55165","54915"
"15.02.2019 22:45 - 15.02.2019 23:00","54258","54359"
"15.02.2019 23:00 - 15.02.2019 23:15","52261","52587"
"15.02.2019 23:15 - 15.02.2019 23:30","51422","51739"
"15.02.2019 23:30 - 15.02.2019 23:45","50769","51552"
"15.02.2019 23:45 - 16.02.2019 00:00","50281","51090"
"16.02.2019 00:00 - 16.02.2019 00:15","49638","50291"
"16.02.2019 00:15 - 16.02.2019 00:30","49241","49425"
"16.02.2019 00:30 - 16.02.2019 00:45","48937","49124"
"16.02.2019 00:45 - 16.02.2019 01:00","48546","49175"
"16.02.2019 01:00 - 16.02.2019 01:15","48079","48744"
"16.02.2019 01:15 - 16.02.2019 01:30","48000","48345"
"16.02.2019 01:30 - 16.02.2019 01:45","47748","48217"
"16.02.2019 01:45 - 16.02.2019 02:00","47698","48354"
"16.02.2019 02:00 - 16.02.2019 02:15","47610","48382"
"16.02.2019 02:15 - 16.02.2019 02:30","47509","48616"
"16.02.2019 02:30 - 16.02.2019 02:45","47404","48653"
"16.02.2019 02:45 - 16.02.2019 03:00","47423","48511"
"16.02.2019 03:00 - 16.02.2019 03:15","47528","48163"
"16.02.2019 03:15 - 16.02.2019 03:30","47529","48101"
"16.02.2019 03:30 - 16.02.2019 03:45","47507","48203"
"16.02.2019 03:45 - 16.02.2019 04:00","47660","48266"
"16.02.2019 04:00 - 16.02.2019 04:15","48079","48196"
"16.02.2019 04:15 - 16.02.2019 04:30","47906","48205"
"16.02.2019 04:30 - 16.02.2019 04:45","47980","47998"
"16.02.2019 04:45 - 16.02.2019 05:00","48366","48013"
"16.02.2019 05:00 - 16.02.2019 05:15","48670","48344"
"16.02.2019 05:15 - 16.02.2019 05:30","49660","49160"
"16.02.2019 05:30 - 16.02.2019 05:45","50222","50024"
"16.02.2019 05:45 - 16.02.2019 06:00","50892","50766"
"16.02.2019 06:00 - 16.02.2019 06:15","52130","51609"
"16.02.2019 06:15 - 16.02.2019 06:30","52646","52132"
"16.02.2019 06:30 - 16.02.2019 06:45","53719","53069"
"16.02.2019 06:45 - 16.02.2019 07:00","54369","54126"
"16.02.2019 07:00 - 16.02.2019 07:15","55471","55798"
"16.02.2019 07:15 - 16.02.2019 07:30","56499","56352"
"16.02.2019 07:30 - 16.02.2019 07:45","57101","56712"
"16.02.2019 07:45 - 16.02.2019 08:00","57705","57368"
"16.02.2019 08:00 - 16.02.2019 08:15","58585","57696"
"16.02.2019 08:15 - 16.02.2019 08:30","59053","58157"
"16.02.2019 08:30 - 16.02.2019 08:45","59473","58686"
"16.02.2019 08:45 - 16.02.2019 09:00","60113","58950"
"16.02.2019 09:00 - 16.02.2019 09:15","60498","58922"
"16.02.2019 09:15 - 16.02.2019 09:30","60602","59325"
"16.02.2019 09:30 - 16.02.2019 09:45","60949","58925"
"16.02.2019 09:45 - 16.02.2019 10:00","61091","58974"
"16.02.2019 10:00 - 16.02.2019 10:15","61265","59192"
"16.02.2019 10:15 - 16.02.2019 10:30","61558","59052"
"16.02.2019 10:30 - 16.02.2019 10:45","61643","59115"
"16.02.2019 10:45 - 16.02.2019 11:00","61194","58902"
"16.02.2019 11:00 - 16.02.2019 11:15","61041","58946"
"16.02.2019 11:15 - 16.02.2019 11:30","61026","58779"
"16.02.2019 11:30 - 16.02.2019 11:45","60658","58396"
"16.02.2019 11:45 - 16.02.2019 12:00","60174","57753"
"16.02.2019 12:00 - 16.02.2019 12:15","59739","57260"
"16.02.2019 12:15 - 16.02.2019 12:30","59237","56746"
"16.02.2019 12:30 - 16.02.2019 12:45","58987","56073"
"16.02.2019 12:45 - 16.02.2019 13:00","58185","55266"
"16.02.2019 13:00 - 16.02.2019 13:15","57942","55148"
"16.02.2019 13:15 - 16.02.2019 13:30","57357","54643"
"16.02.2019 13:30 - 16.02.2019 13:45","57448","54381"
"16.02.2019 13:45 - 16.02.2019 14:00","57683","53964"
"16.02.2019 14:00 - 16.02.2019 14:15","57906","53579"
"16.02.2019 14:15 - 16.02.2019 14:30","57049","53344"
"16.02.2019 14:30 - 16.02.2019 14:45","56818","52833"
"16.02.2019 14:45 - 16.02.2019 15:00","56629","52458"
"16.02.2019 15:00 - 16.02.2019 15:15","56844","52758"
"16.02.2019 15:15 - 16.02.2019 15:30","57050","52866"
"16.02.2019 15:30 - 16.02.2019 15:45","57381","53387"
"16.02.2019 15:45 - 16.02.2019 16:00","57481","54009"
"16.02.2019 16:00 - 16.02.2019 16:15","58573","55365"
"16.02.2019 16:15 - 16.02.2019 16:30","59236","56004"
"16.02.2019 16:30 - 16.02.2019 16:45","60326","57374"
"16.02.2019 16:45 - 16.02.2019 17:00","61158","59061"
"16.02.2019 17:00 - 16.02.2019 17:15","61899","61256"
"16.02.2019 17:15 - 16.02.2019 17:30","62156","61867"
"16.02.2019 17:30 - 16.02.2019 17:45","62250","61726"
"16.02.2019 17:45 - 16.02.2019 18:00","62093","61495"
"16.02.2019 18:00 - 16.02.2019 18:15","61777","61220"
"16.02.2019 18:15 - 16.02.2019 18:30","61157","60591"
"16.02.2019 18:30 - 16.02.2019 18:45","60663","59958"
"16.02.2019 18:45 - 16.02.2019 19:00","59870","59337"
"16.02.2019 19:00 - 16.02.2019 19:15","58954","58885"
"16.02.2019 19:15 - 16.02.2019 19:30","57871","57651"
"16.02.2019 19:30 - 16.02.2019 19:45","56740","56883"
"16.02.2019 19:45 - 16.02.2019 20:00","56082","55740"
"16.02.2019 20:00 - 16.02.2019 20:15","55089","55196"
"16.02.2019 20:15 - 16.02.2019 20:30","54843","54935"
"16.02.2019 20:30 - 16.02.2019 20:45","54648","54215"
"16.02.2019 20:45 - 16.02.2019 21:00","54452","53703"
"16.02.2019 21:00 - 16.02.2019 21:15","54826","53724"
"16.02.2019 21:15 - 16.02.2019 21:30","54397","53000"
"16.02.2019 21:30 - 16.02.2019 21:45","53763","52063"
"16.02.2019 21:45 - 16.02.2019 22:00","52737","51243"
"16.02.2019 22:00 - 16.02.2019 22:15","51665","50760"
"16.02.2019 22:15 - 16.02.2019 22:30","50857","50201"
"16.02.2019 22:30 - 16.02.2019 22:45","50142","49306"
"16.02.2019 22:45 - 16.02.2019 23:00","49448","48587"
"16.02.2019 23:00 - 16.02.2019 23:15","49317","47327"
"16.02.2019 23:15 - 16.02.2019 23:30","48564","46665"
"16.02.2019 23:30 - 16.02.2019 23:45","47967","46034"
"16.02.2019 23:45 - 17.02.2019 00:00","47442","45575"
"17.02.2019 00:00 - 17.02.2019 00:15","46862","44643"
"17.02.2019 00:15 - 17.02.2019 00:30","46330","43711"
"17.02.2019 00:30 - 17.02.2019 00:45","45979","43441"
"17.02.2019 00:45 - 17.02.2019 01:00","45679","43292"
"17.02.2019 01:00 - 17.02.2019 01:15","45285","43276"
"17.02.2019 01:15 - 17.02.2019 01:30","45017","43123"
"17.02.2019 01:30 - 17.02.2019 01:45","44737","43008"
"17.02.2019 01:45 - 17.02.2019 02:00","44713","42911"
"17.02.2019 02:00 - 17.02.2019 02:15","44717","43029"
"17.02.2019 02:15 - 17.02.2019 02:30","44613","42907"
"17.02.2019 02:30 - 17.02.2019 02:45","44678","43035"
"17.02.2019 02:45 - 17.02.2019 03:00","44677","42810"
"17.02.2019 03:00 - 17.02.2019 03:15","44715","42981"
"17.02.2019 03:15 - 17.02.2019 03:30","44731","42714"
"17.02.2019 03:30 - 17.02.2019 03:45","44729","42952"
"17.02.2019 03:45 - 17.02.2019 04:00","44716","42899"
"17.02.2019 04:00 - 17.02.2019 04:15","44857","42909"
"17.02.2019 04:15 - 17.02.2019 04:30","44464","42578"
"17.02.2019 04:30 - 17.02.2019 04:45","44446","42449"
"17.02.2019 04:45 - 17.02.2019 05:00","44327","42151"
"17.02.2019 05:00 - 17.02.2019 05:15","44139","41858"
"17.02.2019 05:15 - 17.02.2019 05:30","44597","41823"
"17.02.2019 05:30 - 17.02.2019 05:45","44995","42197"
"17.02.2019 05:45 - 17.02.2019 06:00","45241","42478"
"17.02.2019 06:00 - 17.02.2019 06:15","45928","42844"
"17.02.2019 06:15 - 17.02.2019 06:30","46367","43046"
"17.02.2019 06:30 - 17.02.2019 06:45","46861","43578"
"17.02.2019 06:45 - 17.02.2019 07:00","47504","44608"
"17.02.2019 07:00 - 17.02.2019 07:15","48367","46025"
"17.02.2019 07:15 - 17.02.2019 07:30","49013","46799"
"17.02.2019 07:30 - 17.02.2019 07:45","49935","47604"
"17.02.2019 07:45 - 17.02.2019 08:00","50661","47828"
"17.02.2019 08:00 - 17.02.2019 08:15","51736","49044"
"17.02.2019 08:15 - 17.02.2019 08:30","52311","49735"
"17.02.2019 08:30 - 17.02.2019 08:45","52738","50508"
"17.02.2019 08:45 - 17.02.2019 09:00","53105","51353"
"17.02.2019 09:00 - 17.02.2019 09:15","53762","51754"
"17.02.2019 09:15 - 17.02.2019 09:30","54367","52105"
"17.02.2019 09:30 - 17.02.2019 09:45","54695","52509"
"17.02.2019 09:45 - 17.02.2019 10:00","55201","53054"
"17.02.2019 10:00 - 17.02.2019 10:15","55870","53778"
"17.02.2019 10:15 - 17.02.2019 10:30","56562","54204"
"17.02.2019 10:30 - 17.02.2019 10:45","57212","54412"
"17.02.2019 10:45 - 17.02.2019 11:00","56964","54181"
"17.02.2019 11:00 - 17.02.2019 11:15","56901","53785"
"17.02.2019 11:15 - 17.02.2019 11:30","56650","53693"
"17.02.2019 11:30 - 17.02.2019 11:45","55949","53004"
"17.02.2019 11:45 - 17.02.2019 12:00","55593","52218"
"17.02.2019 12:00 - 17.02.2019 12:15","55218","51716"
"17.02.2019 12:15 - 17.02.2019 12:30","54676","51026"
"17.02.2019 12:30 - 17.02.2019 12:45","54561","50638"
"17.02.2019 12:45 - 17.02.2019 13:00","53720","49883"
"17.02.2019 13:00 - 17.02.2019 13:15","53626","49652"
"17.02.2019 13:15 - 17.02.2019 13:30","53049","49425"
"17.02.2019 13:30 - 17.02.2019 13:45","53207","48845"
"17.02.2019 13:45 - 17.02.2019 14:00","53416","48678"
"17.02.2019 14:00 - 17.02.2019 14:15","53637","48561"
"17.02.2019 14:15 - 17.02.2019 14:30","52882","48324"
"17.02.2019 14:30 - 17.02.2019 14:45","52744","47743"
"17.02.2019 14:45 - 17.02.2019 15:00","52688","47528"
"17.02.2019 15:00 - 17.02.2019 15:15","53084","47845"
"17.02.2019 15:15 - 17.02.2019 15:30","53675","48016"
"17.02.2019 15:30 - 17.02.2019 15:45","53925","48380"
"17.02.2019 15:45 - 17.02.2019 16:00","53921","49058"
"17.02.2019 16:00 - 17.02.2019 16:15","55014","50392"
"17.02.2019 16:15 - 17.02.2019 16:30","55608","51671"
"17.02.2019 16:30 - 17.02.2019 16:45","57015","53024"
"17.02.2019 16:45 - 17.02.2019 17:00","57813","54924"
"17.02.2019 17:00 - 17.02.2019 17:15","58941","57347"
"17.02.2019 17:15 - 17.02.2019 17:30","59670","58326"
"17.02.2019 17:30 - 17.02.2019 17:45","59766","58639"
"17.02.2019 17:45 - 17.02.2019 18:00","59639","58441"
"17.02.2019 18:00 - 17.02.2019 18:15","59660","58499"
"17.02.2019 18:15 - 17.02.2019 18:30","59296","57963"
"17.02.2019 18:30 - 17.02.2019 18:45","58884","57599"
"17.02.2019 18:45 - 17.02.2019 19:00","58264","56734"
"17.02.2019 19:00 - 17.02.2019 19:15","57713","55898"
"17.02.2019 19:15 - 17.02.2019 19:30","56905","55273"
"17.02.2019 19:30 - 17.02.2019 19:45","55719","54667"
"17.02.2019 19:45 - 17.02.2019 20:00","55473","53730"
"17.02.2019 20:00 - 17.02.2019 20:15","54694","52809"
"17.02.2019 20:15 - 17.02.2019 20:30","54495","52556"
"17.02.2019 20:30 - 17.02.2019 20:45","54762","52656"
"17.02.2019 20:45 - 17.02.2019 21:00","54881","52626"
"17.02.2019 21:00 - 17.02.2019 21:15","55333","53758"
"17.02.2019 21:15 - 17.02.2019 21:30","54975","53553"
"17.02.2019 21:30 - 17.02.2019 21:45","54489","52910"
"17.02.2019 21:45 - 17.02.2019 22:00","53516","52247"
"17.02.2019 22:00 - 17.02.2019 22:15","52442","50910"
"17.02.2019 22:15 - 17.02.2019 22:30","51772","50224"
"17.02.2019 22:30 - 17.02.2019 22:45","51073","49538"
"17.02.2019 22:45 - 17.02.2019 23:00","50647","48869"
"17.02.2019 23:00 - 17.02.2019 23:15","50707","48393"
"17.02.2019 23:15 - 17.02.2019 23:30","50218","48145"
"17.02.2019 23:30 - 17.02.2019 23:45","49677","47744"
"17.02.2019 23:45 - 18.02.2019 00:00","49272","47372"
"18.02.2019 00:00 - 18.02.2019 00:15","48793","46603"
"18.02.2019 00:15 - 18.02.2019 00:30","48417","46392"
"18.02.2019 00:30 - 18.02.2019 00:45","48254","46056"
"18.02.2019 00:45 - 18.02.2019 01:00","48006","46135"
"18.02.2019 01:00 - 18.02.2019 01:15","47808","45987"
"18.02.2019 01:15 - 18.02.2019 01:30","47635","45980"
"18.02.2019 01:30 - 18.02.2019 01:45","47611","45958"
"18.02.2019 01:45 - 18.02.2019 02:00","47604","46173"
"18.02.2019 02:00 - 18.02.2019 02:15","47730","46268"
"18.02.2019 02:15 - 18.02.2019 02:30","47867","46495"
"18.02.2019 02:30 - 18.02.2019 02:45","47990","46810"
"18.02.2019 02:45 - 18.02.2019 03:00","48384","47330"
"18.02.2019 03:00 - 18.02.2019 03:15","48865","47699"
"18.02.2019 03:15 - 18.02.2019 03:30","49156","48252"
"18.02.2019 03:30 - 18.02.2019 03:45","49789","49107"
"18.02.2019 03:45 - 18.02.2019 04:00","50405","49873"
"18.02.2019 04:00 - 18.02.2019 04:15","51758","51625"
"18.02.2019 04:15 - 18.02.2019 04:30","52422","52615"
"18.02.2019 04:30 - 18.02.2019 04:45","53697","53673"
