"MTU (UTC)","Generation - Solar  [MW] Day Ahead/ BZN|FR","Generation - Solar  [MW] Intraday / BZN|FR","Generation - Solar  [MW] Current / BZN|FR","Generation - Wind Offshore  [MW] Day Ahead/ BZN|FR","Generation - Wind Offshore  [MW] Intraday / BZN|FR","Generation - Wind Offshore  [MW] Current / BZN|FR","Generation - Wind Onshore  [MW] Day Ahead/ BZN|FR","Generation - Wind Onshore  [MW] Intraday / BZN|FR","Generation - Wind Onshore  [MW] Current / BZN|FR"
"02.01.2020 01:00 - 02.01.2020 02:00","0","N/A","0","n/e","n/e","n/e","1733","N/A","1741"
"02.01.2020 02:00 - 02.01.2020 03:00","0","N/A","0","n/e","n/e","n/e","1808","N/A","1897"
"02.01.2020 03:00 - 02.01.2020 04:00","0","N/A","0","n/e","n/e","n/e","1883","N/A","2050"
"02.01.2020 04:00 - 02.01.2020 05:00","0","N/A","0","n/e","n/e","n/e","1959","N/A","2119"
"02.01.2020 05:00 - 02.01.2020 06:00","0","N/A","0","n/e","n/e","n/e","2035","N/A","2188"
"02.01.2020 06:00 - 02.01.2020 07:00","0","0","0","n/e","n/e","n/e","2110","2242","2242"
"02.01.2020 07:00 - 02.01.2020 08:00","0","0","0","n/e","n/e","n/e","2284","2534","2534"
"02.01.2020 08:00 - 02.01.2020 09:00","161","156","156","n/e","n/e","n/e","2459","2790","2790"
"02.01.2020 09:00 - 02.01.2020 10:00","922","961","1143","n/e","n/e","n/e","2634","3030","2789"
"02.01.2020 10:00 - 02.01.2020 11:00","1900","1929","2239","n/e","n/e","n/e","2857","3388","3221"
"02.01.2020 11:00 - 02.01.2020 12:00","2462","2500","2821","n/e","n/e","n/e","3079","3739","3611"
"02.01.2020 12:00 - 02.01.2020 13:00","2672","2694","2888","n/e","n/e","n/e","3302","4084","3983"
"02.01.2020 13:00 - 02.01.2020 14:00","2454","2423","2462","n/e","n/e","n/e","3582","4237","4155"
"02.01.2020 14:00 - 02.01.2020 15:00","1710","1752","1660","n/e","n/e","n/e","3862","4384","4321"
"02.01.2020 15:00 - 02.01.2020 16:00","689","684","672","n/e","n/e","n/e","4141","4529","4480"
"02.01.2020 16:00 - 02.01.2020 17:00","43","41","40","n/e","n/e","n/e","4497","4855","4816"
"02.01.2020 17:00 - 02.01.2020 18:00","0","0","0","n/e","n/e","n/e","4854","5179","5147"
"02.01.2020 18:00 - 02.01.2020 19:00","0","0","0","n/e","n/e","n/e","5210","5504","5475"
"02.01.2020 19:00 - 02.01.2020 20:00","0","0","0","n/e","n/e","n/e","5288","5657","5632"
"02.01.2020 20:00 - 02.01.2020 21:00","0","0","0","n/e","n/e","n/e","5367","5809","5787"
"02.01.2020 21:00 - 02.01.2020 22:00","0","0","0","n/e","n/e","n/e","5446","5962","5942"
"02.01.2020 22:00 - 02.01.2020 23:00","0","0","0","n/e","n/e","n/e","5490","5989","5971"
"02.01.2020 23:00 - 03.01.2020 00:00","0","N/A","0","n/e","n/e","n/e","6136","N/A","6388"
"03.01.2020 00:00 - 03.01.2020 01:00","0","N/A","0","n/e","n/e","n/e","6260","N/A","6498"
"03.01.2020 01:00 - 03.01.2020 02:00","0","N/A","0","n/e","n/e","n/e","6475","N/A","6766"
"03.01.2020 02:00 - 03.01.2020 03:00","0","N/A","0","n/e","n/e","n/e","6688","N/A","7028"
"03.01.2020 03:00 - 03.01.2020 04:00","0","N/A","0","n/e","n/e","n/e","6902","N/A","7285"
"03.01.2020 04:00 - 03.01.2020 05:00","0","N/A","0","n/e","n/e","n/e","6902","N/A","7242"
"03.01.2020 05:00 - 03.01.2020 06:00","0","N/A","0","n/e","n/e","n/e","6900","N/A","7199"
"03.01.2020 06:00 - 03.01.2020 07:00","0","0","0","n/e","n/e","n/e","6897","7811","7811"
"03.01.2020 07:00 - 03.01.2020 08:00","0","0","0","n/e","n/e","n/e","6792","7908","7908"
"03.01.2020 08:00 - 03.01.2020 09:00","146","145","145","n/e","n/e","n/e","6689","8004","8004"
"03.01.2020 09:00 - 03.01.2020 10:00","871","864","976","n/e","n/e","n/e","6587","8098","8242"
"03.01.2020 10:00 - 03.01.2020 11:00","1722","1662","1844","n/e","n/e","n/e","6829","8389","8500"
"03.01.2020 11:00 - 03.01.2020 12:00","2213","2205","2264","n/e","n/e","n/e","7070","8681","8772"
"03.01.2020 12:00 - 03.01.2020 13:00","2307","2213","2288","n/e","n/e","n/e","7311","8973","9049"
"03.01.2020 13:00 - 03.01.2020 14:00","1990","1867","2080","n/e","n/e","n/e","6919","8500","8564"
"03.01.2020 14:00 - 03.01.2020 15:00","1359","1282","1399","n/e","n/e","n/e","6528","8028","8084"
"03.01.2020 15:00 - 03.01.2020 16:00","557","497","569","n/e","n/e","n/e","6138","7556","7605"
"03.01.2020 16:00 - 03.01.2020 17:00","37","34","36","n/e","n/e","n/e","5688","6953","6996"
"03.01.2020 17:00 - 03.01.2020 18:00","0","0","0","n/e","n/e","n/e","5239","6349","6390"
"03.01.2020 18:00 - 03.01.2020 19:00","0","0","0","n/e","n/e","n/e","4786","5746","5785"
"03.01.2020 19:00 - 03.01.2020 20:00","0","0","0","n/e","n/e","n/e","4452","5134","5171"
"03.01.2020 20:00 - 03.01.2020 21:00","0","0","0","n/e","n/e","n/e","4117","4522","4556"
"03.01.2020 21:00 - 03.01.2020 22:00","0","0","0","n/e","n/e","n/e","3781","3912","3941"
"03.01.2020 22:00 - 03.01.2020 23:00","0","0","0","n/e","n/e","n/e","3576","3673","3701"
"03.01.2020 23:00 - 04.01.2020 00:00","0","N/A","0","n/e","n/e","n/e","3430","N/A","3305"
"04.01.2020 00:00 - 04.01.2020 01:00","0","N/A","0","n/e","n/e","n/e","3285","N/A","3134"
"04.01.2020 01:00 - 04.01.2020 02:00","0","N/A","0","n/e","n/e","n/e","3185","N/A","3193"
"04.01.2020 02:00 - 04.01.2020 03:00","0","N/A","0","n/e","n/e","n/e","3084","N/A","3249"
"04.01.2020 03:00 - 04.01.2020 04:00","0","N/A","0","n/e","n/e","n/e","2982","N/A","3301"
"04.01.2020 04:00 - 04.01.2020 05:00","0","N/A","0","n/e","n/e","n/e","2925","N/A","3144"
"04.01.2020 05:00 - 04.01.2020 06:00","0","N/A","0","n/e","n/e","n/e","2866","N/A","2987"
"04.01.2020 06:00 - 04.01.2020 07:00","0","0","0","n/e","n/e","n/e","2808","3193","3193"
"04.01.2020 07:00 - 04.01.2020 08:00","0","0","0","n/e","n/e","n/e","2874","3281","3281"
"04.01.2020 08:00 - 04.01.2020 09:00","188","191","191","n/e","n/e","n/e","2942","3366","3366"
"04.01.2020 09:00 - 04.01.2020 10:00","1093","1047","1248","n/e","n/e","n/e","3012","3450","3340"
"04.01.2020 10:00 - 04.01.2020 11:00","2109","2010","2425","n/e","n/e","n/e","3157","3487","3409"
"04.01.2020 11:00 - 04.01.2020 12:00","2784","2695","3122","n/e","n/e","n/e","3301","3524","3464"
"04.01.2020 12:00 - 04.01.2020 13:00","3095","2952","3288","n/e","n/e","n/e","3445","3562","3513"
"04.01.2020 13:00 - 04.01.2020 14:00","2834","2805","2907","n/e","n/e","n/e","3451","3420","3379"
"04.01.2020 14:00 - 04.01.2020 15:00","2026","2057","2031","n/e","n/e","n/e","3458","3278","3243"
"04.01.2020 15:00 - 04.01.2020 16:00","842","837","830","n/e","n/e","n/e","3467","3135","3106"
"04.01.2020 16:00 - 04.01.2020 17:00","53","53","52","n/e","n/e","n/e","3374","3157","3132"
"04.01.2020 17:00 - 04.01.2020 18:00","0","0","0","n/e","n/e","n/e","3283","3179","3157"
"04.01.2020 18:00 - 04.01.2020 19:00","0","0","0","n/e","n/e","n/e","3190","3201","3182"
"04.01.2020 19:00 - 04.01.2020 20:00","0","0","0","n/e","n/e","n/e","3129","2953","2935"
"04.01.2020 20:00 - 04.01.2020 21:00","0","0","0","n/e","n/e","n/e","3067","2706","2688"
"04.01.2020 21:00 - 04.01.2020 22:00","0","0","0","n/e","n/e","n/e","3006","2458","2441"
"04.01.2020 22:00 - 04.01.2020 23:00","0","0","0","n/e","n/e","n/e","2840","2271","2256"
"04.01.2020 23:00 - 05.01.2020 00:00","0","N/A","0","n/e","n/e","n/e","2204","N/A","2049"
"05.01.2020 00:00 - 05.01.2020 01:00","0","N/A","0","n/e","n/e","n/e","1999","N/A","1760"
"05.01.2020 01:00 - 05.01.2020 02:00","0","N/A","0","n/e","n/e","n/e","1927","N/A","1737"
"05.01.2020 02:00 - 05.01.2020 03:00","0","N/A","0","n/e","n/e","n/e","1856","N/A","1713"
"05.01.2020 03:00 - 05.01.2020 04:00","0","N/A","0","n/e","n/e","n/e","1785","N/A","1693"
"05.01.2020 04:00 - 05.01.2020 05:00","0","N/A","0","n/e","n/e","n/e","1793","N/A","1717"
"05.01.2020 05:00 - 05.01.2020 06:00","0","N/A","0","n/e","n/e","n/e","1802","N/A","1743"
"05.01.2020 06:00 - 05.01.2020 07:00","0","0","0","n/e","n/e","n/e","1811","1880","1880"
"05.01.2020 07:00 - 05.01.2020 08:00","0","0","0","n/e","n/e","n/e","1785","1830","1830"
"05.01.2020 08:00 - 05.01.2020 09:00","211","220","220","n/e","n/e","n/e","1760","1785","1785"
"05.01.2020 09:00 - 05.01.2020 10:00","1210","1267","1349","n/e","n/e","n/e","1734","1743","1735"
"05.01.2020 10:00 - 05.01.2020 11:00","2344","2443","2638","n/e","n/e","n/e","1639","1654","1645"
"05.01.2020 11:00 - 05.01.2020 12:00","3129","3195","3455","n/e","n/e","n/e","1544","1567","1558"
"05.01.2020 12:00 - 05.01.2020 13:00","3411","3469","3647","n/e","n/e","n/e","1450","1482","1471"
"05.01.2020 13:00 - 05.01.2020 14:00","3149","3179","3253","n/e","n/e","n/e","1362","1419","1409"
"05.01.2020 14:00 - 05.01.2020 15:00","2264","2277","2296","n/e","n/e","n/e","1274","1357","1348"
"05.01.2020 15:00 - 05.01.2020 16:00","919","932","933","n/e","n/e","n/e","1186","1295","1289"
"05.01.2020 16:00 - 05.01.2020 17:00","60","61","61","n/e","n/e","n/e","1280","1500","1495"
"05.01.2020 17:00 - 05.01.2020 18:00","0","0","0","n/e","n/e","n/e","1374","1706","1703"
"05.01.2020 18:00 - 05.01.2020 19:00","0","0","0","n/e","n/e","n/e","1469","1917","1916"
"05.01.2020 19:00 - 05.01.2020 20:00","0","0","0","n/e","n/e","n/e","1506","1964","1961"
"05.01.2020 20:00 - 05.01.2020 21:00","0","0","0","n/e","n/e","n/e","1543","2017","2013"
"05.01.2020 21:00 - 05.01.2020 22:00","0","0","0","n/e","n/e","n/e","1581","2074","2069"
"05.01.2020 22:00 - 05.01.2020 23:00","0","0","0","n/e","n/e","n/e","1633","2143","2140"
"05.01.2020 23:00 - 06.01.2020 00:00","0","N/A","0","n/e","n/e","n/e","1879","N/A","2191"
"06.01.2020 00:00 - 06.01.2020 01:00","0","N/A","0","n/e","n/e","n/e","1937","N/A","2316"
"06.01.2020 01:00 - 06.01.2020 02:00","0","N/A","0","n/e","n/e","n/e","2004","N/A","2360"
"06.01.2020 02:00 - 06.01.2020 03:00","0","N/A","0","n/e","n/e","n/e","2073","N/A","2403"
"06.01.2020 03:00 - 06.01.2020 04:00","0","N/A","0","n/e","n/e","n/e","2144","N/A","2450"
"06.01.2020 04:00 - 06.01.2020 05:00","0","N/A","0","n/e","n/e","n/e","2250","N/A","2565"
"06.01.2020 05:00 - 06.01.2020 06:00","0","N/A","0","n/e","n/e","n/e","2356","N/A","2680"
"06.01.2020 06:00 - 06.01.2020 07:00","0","0","0","n/e","n/e","n/e","2463","2563","2563"
"06.01.2020 07:00 - 06.01.2020 08:00","0","0","0","n/e","n/e","n/e","2762","2821","2821"
"06.01.2020 08:00 - 06.01.2020 09:00","226","224","224","n/e","n/e","n/e","3061","3081","3081"
"06.01.2020 09:00 - 06.01.2020 10:00","1267","1344","1299","n/e","n/e","n/e","3360","3342","3774"
"06.01.2020 10:00 - 06.01.2020 11:00","2494","2637","2564","n/e","n/e","n/e","3475","3379","3709"
"06.01.2020 11:00 - 06.01.2020 12:00","3267","3426","3336","n/e","n/e","n/e","3590","3419","3687"
"06.01.2020 12:00 - 06.01.2020 13:00","3528","3650","3587","n/e","n/e","n/e","3706","3461","3681"
"06.01.2020 13:00 - 06.01.2020 14:00","3132","3242","3169","n/e","n/e","n/e","3842","3595","3780"
"06.01.2020 14:00 - 06.01.2020 15:00","2200","2247","2177","n/e","n/e","n/e","3978","3728","3888"
"06.01.2020 15:00 - 06.01.2020 16:00","886","902","876","n/e","n/e","n/e","4114","3861","4004"
"06.01.2020 16:00 - 06.01.2020 17:00","57","59","58","n/e","n/e","n/e","4494","4170","4296"
"06.01.2020 17:00 - 06.01.2020 18:00","0","0","0","n/e","n/e","n/e","4873","4480","4594"
"06.01.2020 18:00 - 06.01.2020 19:00","0","0","0","n/e","n/e","n/e","5254","4793","4897"
"06.01.2020 19:00 - 06.01.2020 20:00","0","0","0","n/e","n/e","n/e","5344","4880","4979"
"06.01.2020 20:00 - 06.01.2020 21:00","0","0","0","n/e","n/e","n/e","5435","4969","5062"
"06.01.2020 21:00 - 06.01.2020 22:00","0","0","0","n/e","n/e","n/e","5526","5059","5147"
"06.01.2020 22:00 - 06.01.2020 23:00","0","0","0","n/e","n/e","n/e","5268","4762","4846"
"06.01.2020 23:00 - 07.01.2020 00:00","0","N/A","0","n/e","n/e","n/e","4308","N/A","4791"
"07.01.2020 00:00 - 07.01.2020 01:00","0","N/A","0","n/e","n/e","n/e","4028","N/A","4282"
"07.01.2020 01:00 - 07.01.2020 02:00","0","N/A","0","n/e","n/e","n/e","3794","N/A","4115"
"07.01.2020 02:00 - 07.01.2020 03:00","0","N/A","0","n/e","n/e","n/e","3559","N/A","3948"
"07.01.2020 03:00 - 07.01.2020 04:00","0","N/A","0","n/e","n/e","n/e","3324","N/A","3779"
"07.01.2020 04:00 - 07.01.2020 05:00","0","N/A","0","n/e","n/e","n/e","3054","N/A","3465"
"07.01.2020 05:00 - 07.01.2020 06:00","0","N/A","0","n/e","n/e","n/e","2784","N/A","3151"
"07.01.2020 06:00 - 07.01.2020 07:00","0","0","0","n/e","n/e","n/e","2513","2793","2793"
"07.01.2020 07:00 - 07.01.2020 08:00","0","0","0","n/e","n/e","n/e","2748","2951","2951"
"07.01.2020 08:00 - 07.01.2020 09:00","179","186","186","n/e","n/e","n/e","2986","3101","3101"
"07.01.2020 09:00 - 07.01.2020 10:00","941","974","984","n/e","n/e","n/e","3223","3247","3226"
"07.01.2020 10:00 - 07.01.2020 11:00","1636","1833","1846","n/e","n/e","n/e","3442","3429","3417"
"07.01.2020 11:00 - 07.01.2020 12:00","2159","2379","2384","n/e","n/e","n/e","3659","3611","3603"
"07.01.2020 12:00 - 07.01.2020 13:00","2411","2491","2568","n/e","n/e","n/e","3875","3792","3785"
"07.01.2020 13:00 - 07.01.2020 14:00","2233","2206","2266","n/e","n/e","n/e","4062","3932","3928"
"07.01.2020 14:00 - 07.01.2020 15:00","1545","1530","1593","n/e","n/e","n/e","4250","4070","4069"
"07.01.2020 15:00 - 07.01.2020 16:00","673","622","637","n/e","n/e","n/e","4440","4210","4211"
"07.01.2020 16:00 - 07.01.2020 17:00","46","43","43","n/e","n/e","n/e","4780","4677","4678"
"07.01.2020 17:00 - 07.01.2020 18:00","0","0","0","n/e","n/e","n/e","5121","5144","5145"
"07.01.2020 18:00 - 07.01.2020 19:00","0","0","0","n/e","n/e","n/e","5460","5612","5613"
"07.01.2020 19:00 - 07.01.2020 20:00","0","0","0","n/e","n/e","n/e","5480","5659","5662"
"07.01.2020 20:00 - 07.01.2020 21:00","0","0","0","n/e","n/e","n/e","5501","5707","5709"
"07.01.2020 21:00 - 07.01.2020 22:00","0","0","0","n/e","n/e","n/e","5521","5755","5756"
"07.01.2020 22:00 - 07.01.2020 23:00","0","0","0","n/e","n/e","n/e","5548","5801","5804"
"07.01.2020 23:00 - 08.01.2020 00:00","0","N/A","0","n/e","n/e","n/e","5608","N/A","5320"
"08.01.2020 00:00 - 08.01.2020 01:00","0","N/A","0","n/e","n/e","n/e","5591","N/A","5396"
"08.01.2020 01:00 - 08.01.2020 02:00","0","N/A","0","n/e","n/e","n/e","5577","N/A","5345"
"08.01.2020 02:00 - 08.01.2020 03:00","0","N/A","0","n/e","n/e","n/e","5562","N/A","5289"
"08.01.2020 03:00 - 08.01.2020 04:00","0","N/A","0","n/e","n/e","n/e","5546","N/A","5229"
"08.01.2020 04:00 - 08.01.2020 05:00","0","N/A","0","n/e","n/e","n/e","5249","N/A","4932"
"08.01.2020 05:00 - 08.01.2020 06:00","0","N/A","0","n/e","n/e","n/e","4952","N/A","4634"
"08.01.2020 06:00 - 08.01.2020 07:00","0","0","0","n/e","n/e","n/e","4654","4441","4441"
"08.01.2020 07:00 - 08.01.2020 08:00","0","0","0","n/e","n/e","n/e","4422","4226","4226"
"08.01.2020 08:00 - 08.01.2020 09:00","181","213","213","n/e","n/e","n/e","4189","4017","4017"
"08.01.2020 09:00 - 08.01.2020 10:00","914","1086","1202","n/e","n/e","n/e","3957","3811","3923"
"08.01.2020 10:00 - 08.01.2020 11:00","1807","1920","2200","n/e","n/e","n/e","3903","3846","3927"
"08.01.2020 11:00 - 08.01.2020 12:00","2321","2336","2675","n/e","n/e","n/e","3848","3886","3949"
"08.01.2020 12:00 - 08.01.2020 13:00","2494","2564","2673","n/e","n/e","n/e","3795","3932","3980"
"08.01.2020 13:00 - 08.01.2020 14:00","2196","2261","2209","n/e","n/e","n/e","3561","3513","3551"
"08.01.2020 14:00 - 08.01.2020 15:00","1551","1629","1516","n/e","n/e","n/e","3329","3097","3127"
"08.01.2020 15:00 - 08.01.2020 16:00","627","687","608","n/e","n/e","n/e","3099","2683","2708"
"08.01.2020 16:00 - 08.01.2020 17:00","42","48","40","n/e","n/e","n/e","3123","2656","2680"
"08.01.2020 17:00 - 08.01.2020 18:00","0","0","0","n/e","n/e","n/e","3148","2634","2657"
"08.01.2020 18:00 - 08.01.2020 19:00","0","0","0","n/e","n/e","n/e","3172","2614","2637"
"08.01.2020 19:00 - 08.01.2020 20:00","0","0","0","n/e","n/e","n/e","3467","2949","2968"
"08.01.2020 20:00 - 08.01.2020 21:00","0","0","0","n/e","n/e","n/e","3762","3286","3301"
"08.01.2020 21:00 - 08.01.2020 22:00","0","0","0","n/e","n/e","n/e","4058","3623","3636"
"08.01.2020 22:00 - 08.01.2020 23:00","0","0","0","n/e","n/e","n/e","4488","4073","4086"
"08.01.2020 23:00 - 09.01.2020 00:00","0","N/A","0","n/e","n/e","n/e","4770","N/A","5008"
"09.01.2020 00:00 - 09.01.2020 01:00","0","N/A","0","n/e","n/e","n/e","5296","N/A","5659"
"09.01.2020 01:00 - 09.01.2020 02:00","0","N/A","0","n/e","n/e","n/e","5721","N/A","6032"
"09.01.2020 02:00 - 09.01.2020 03:00","0","N/A","0","n/e","n/e","n/e","6144","N/A","6404"
"09.01.2020 03:00 - 09.01.2020 04:00","0","N/A","0","n/e","n/e","n/e","6567","N/A","6772"
"09.01.2020 04:00 - 09.01.2020 05:00","0","N/A","0","n/e","n/e","n/e","6904","N/A","7183"
"09.01.2020 05:00 - 09.01.2020 06:00","0","N/A","0","n/e","n/e","n/e","7241","N/A","7594"
"09.01.2020 06:00 - 09.01.2020 07:00","0","0","0","n/e","n/e","n/e","7577","8578","8578"
"09.01.2020 07:00 - 09.01.2020 08:00","0","0","0","n/e","n/e","n/e","8013","8807","8807"
"09.01.2020 08:00 - 09.01.2020 09:00","221","236","236","n/e","n/e","n/e","8449","9049","9049"
"09.01.2020 09:00 - 09.01.2020 10:00","1121","1201","1301","n/e","n/e","n/e","8886","9296","9468"
"09.01.2020 10:00 - 09.01.2020 11:00","2110","2202","2327","n/e","n/e","n/e","9227","9549","9676"
"09.01.2020 11:00 - 09.01.2020 12:00","2778","2863","2896","n/e","n/e","n/e","9567","9806","9907"
"09.01.2020 12:00 - 09.01.2020 13:00","2905","3063","2974","n/e","n/e","n/e","9906","10066","10145"
"09.01.2020 13:00 - 09.01.2020 14:00","2594","2693","2576","n/e","n/e","n/e","10261","9990","10057"
"09.01.2020 14:00 - 09.01.2020 15:00","1751","1862","1739","n/e","n/e","n/e","10615","9916","9974"
"09.01.2020 15:00 - 09.01.2020 16:00","720","773","689","n/e","n/e","n/e","10971","9844","9894"
"09.01.2020 16:00 - 09.01.2020 17:00","45","55","44","n/e","n/e","n/e","11171","9882","9924"
"09.01.2020 17:00 - 09.01.2020 18:00","0","0","0","n/e","n/e","n/e","11371","9920","9958"
"09.01.2020 18:00 - 09.01.2020 19:00","0","0","0","n/e","n/e","n/e","11570","9959","9994"
"09.01.2020 19:00 - 09.01.2020 20:00","0","0","0","n/e","n/e","n/e","11551","9786","9818"
"09.01.2020 20:00 - 09.01.2020 21:00","0","0","0","n/e","n/e","n/e","11531","9613","9642"
"09.01.2020 21:00 - 09.01.2020 22:00","0","0","0","n/e","n/e","n/e","11510","9440","9467"
"09.01.2020 22:00 - 09.01.2020 23:00","0","0","0","n/e","n/e","n/e","11487","9197","9222"
"09.01.2020 23:00 - 10.01.2020 00:00","0","N/A","0","n/e","n/e","n/e","9327","N/A","8995"
"10.01.2020 00:00 - 10.01.2020 01:00","0","N/A","0","n/e","n/e","n/e","9140","N/A","8707"
"10.01.2020 01:00 - 10.01.2020 02:00","0","N/A","0","n/e","n/e","n/e","8662","N/A","8361"
"10.01.2020 02:00 - 10.01.2020 03:00","0","N/A","0","n/e","n/e","n/e","8182","N/A","8014"
"10.01.2020 03:00 - 10.01.2020 04:00","0","N/A","0","n/e","n/e","n/e","7702","N/A","7662"
"10.01.2020 04:00 - 10.01.2020 05:00","0","N/A","0","n/e","n/e","n/e","7338","N/A","7425"
"10.01.2020 05:00 - 10.01.2020 06:00","0","N/A","0","n/e","n/e","n/e","6974","N/A","7191"
"10.01.2020 06:00 - 10.01.2020 07:00","0","0","0","n/e","n/e","n/e","6611","6930","6930"
"10.01.2020 07:00 - 10.01.2020 08:00","0","0","0","n/e","n/e","n/e","6274","6608","6608"
"10.01.2020 08:00 - 10.01.2020 09:00","146","146","146","n/e","n/e","n/e","5941","6294","6294"
"10.01.2020 09:00 - 10.01.2020 10:00","836","864","900","n/e","n/e","n/e","5608","5982","6033"
"10.01.2020 10:00 - 10.01.2020 11:00","1579","1740","1765","n/e","n/e","n/e","5298","5594","5629"
"10.01.2020 11:00 - 10.01.2020 12:00","2033","2244","2309","n/e","n/e","n/e","4986","5207","5236"
"10.01.2020 12:00 - 10.01.2020 13:00","2223","2371","2589","n/e","n/e","n/e","4673","4822","4847"
"10.01.2020 13:00 - 10.01.2020 14:00","2184","2346","2348","n/e","n/e","n/e","4185","4171","4194"
"10.01.2020 14:00 - 10.01.2020 15:00","1746","1741","1790","n/e","n/e","n/e","3699","3522","3542"
"10.01.2020 15:00 - 10.01.2020 16:00","814","796","824","n/e","n/e","n/e","3215","2875","2892"
"10.01.2020 16:00 - 10.01.2020 17:00","75","72","71","n/e","n/e","n/e","2708","2568","2582"
"10.01.2020 17:00 - 10.01.2020 18:00","0","0","0","n/e","n/e","n/e","2201","2261","2274"
"10.01.2020 18:00 - 10.01.2020 19:00","0","0","0","n/e","n/e","n/e","1696","1956","1970"
"10.01.2020 19:00 - 10.01.2020 20:00","0","0","0","n/e","n/e","n/e","1683","1850","1863"
"10.01.2020 20:00 - 10.01.2020 21:00","0","0","0","n/e","n/e","n/e","1671","1746","1759"
"10.01.2020 21:00 - 10.01.2020 22:00","0","0","0","n/e","n/e","n/e","1660","1645","1656"
"10.01.2020 22:00 - 10.01.2020 23:00","0","0","0","n/e","n/e","n/e","1578","1634","1646"
"10.01.2020 23:00 - 11.01.2020 00:00","0","N/A","0","n/e","n/e","n/e","1779","N/A","1763"
"11.01.2020 00:00 - 11.01.2020 01:00","0","N/A","0","n/e","n/e","n/e","1845","N/A","1877"
"11.01.2020 01:00 - 11.01.2020 02:00","0","N/A","0","n/e","n/e","n/e","2025","N/A","2056"
"11.01.2020 02:00 - 11.01.2020 03:00","0","N/A","0","n/e","n/e","n/e","2205","N/A","2236"
"11.01.2020 03:00 - 11.01.2020 04:00","0","N/A","0","n/e","n/e","n/e","2387","N/A","2418"
"11.01.2020 04:00 - 11.01.2020 05:00","0","N/A","0","n/e","n/e","n/e","2628","N/A","2602"
"11.01.2020 05:00 - 11.01.2020 06:00","0","N/A","0","n/e","n/e","n/e","2870","N/A","2789"
"11.01.2020 06:00 - 11.01.2020 07:00","0","0","0","n/e","n/e","n/e","3115","2996","2996"
